[     main]19/Oct/2023 01:03:36 PM INFO  [     ApiAutomation.java] -> [id:1, employee_name:Tiger Nixon, employee_salary:320800, employee_age:61, profile_image:]
[     main]19/Oct/2023 01:03:36 PM INFO  [     ApiAutomation.java] -> [id:2, employee_name:Garrett Winters, employee_salary:170750, employee_age:63, profile_image:]
[     main]19/Oct/2023 01:03:36 PM INFO  [     ApiAutomation.java] -> [id:3, employee_name:Ashton Cox, employee_salary:86000, employee_age:66, profile_image:]
[     main]19/Oct/2023 01:03:37 PM INFO  [     ApiAutomation.java] -> [id:5, employee_name:Airi Satou, employee_salary:162700, employee_age:33, profile_image:]
[     main]19/Oct/2023 01:03:37 PM INFO  [     ApiAutomation.java] -> [id:6, employee_name:Brielle Williamson, employee_salary:372000, employee_age:61, profile_image:]
[     main]19/Oct/2023 01:03:37 PM INFO  [     ApiAutomation.java] -> [id:7, employee_name:Herrod Chandler, employee_salary:137500, employee_age:59, profile_image:]
[     main]19/Oct/2023 01:03:37 PM INFO  [     ApiAutomation.java] -> [id:8, employee_name:Rhona Davidson, employee_salary:327900, employee_age:55, profile_image:]
[     main]19/Oct/2023 01:03:37 PM INFO  [     ApiAutomation.java] -> [id:9, employee_name:Colleen Hurst, employee_salary:205500, employee_age:39, profile_image:]
[     main]19/Oct/2023 01:03:38 PM INFO  [     ApiAutomation.java] -> [id:13, employee_name:Charde Marshall, employee_salary:470600, employee_age:36, profile_image:]
[     main]19/Oct/2023 01:03:38 PM INFO  [     ApiAutomation.java] -> [id:14, employee_name:Haley Kennedy, employee_salary:313500, employee_age:43, profile_image:]
[     main]19/Oct/2023 01:03:38 PM INFO  [     ApiAutomation.java] -> [id:16, employee_name:Michael Silva, employee_salary:198500, employee_age:66, profile_image:]
[     main]19/Oct/2023 01:03:38 PM INFO  [     ApiAutomation.java] -> [id:17, employee_name:Paul Byrd, employee_salary:725000, employee_age:64, profile_image:]
[     main]19/Oct/2023 01:03:38 PM INFO  [     ApiAutomation.java] -> [id:18, employee_name:Gloria Little, employee_salary:237500, employee_age:59, profile_image:]
[     main]19/Oct/2023 01:03:38 PM INFO  [     ApiAutomation.java] -> [id:19, employee_name:Bradley Greer, employee_salary:132000, employee_age:41, profile_image:]
[     main]19/Oct/2023 01:03:38 PM INFO  [     ApiAutomation.java] -> [id:20, employee_name:Dai Rios, employee_salary:217500, employee_age:35, profile_image:]
[     main]19/Oct/2023 01:03:38 PM INFO  [     ApiAutomation.java] -> [id:22, employee_name:Yuri Berry, employee_salary:675000, employee_age:40, profile_image:]
